Steps,p_-8,p_-7,p_-6,p_-5,p_-4,p_-3,p_-2,p_-1,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,28608,29248,29056,28800,34752,34688,34880,34752,65472,65472,65472,65472,65472,65472,65472,65408
0,28672,28480,28800,29184,35264,34560,35008,34624,65280,65344,65344,65408,65344,65408,65344,65472
0,29184,28736,29056,29568,34816,34560,34880,34944,65216,65472,65344,65472,65408,65408,65472,65472
0,28736,29120,28864,29504,34816,34944,34816,34560,65344,65472,65344,65408,65408,65472,65408,65408
0,28864,28864,29056,28800,34624,34560,35328,35584,65344,65408,65216,65472,65472,65408,65472,65408
0,29120,29376,29312,28672,34688,34624,35328,34816,65280,65408,65280,65472,65408,65472,65472,65472
0,28800,28928,29056,28928,34944,34752,34688,34816,65280,65472,65280,65472,65472,65472,65472,65472
0,29184,29440,28800,28864,34624,34752,34688,34688,65344,65408,65280,65472,65408,65472,65472,65408
0,29120,28928,29184,29056,34752,34688,35008,34688,65344,65472,65344,65472,65472,65472,65472,65472
0,29376,28736,28864,29056,35072,34880,34688,34816,65344,65472,65280,65408,65408,65408,65472,65472
1,40448,40640,41024,40576,29632,29312,28992,29184,30528,33472,36480,41664,52608,63040,65344,65344
1,40960,41152,40896,40512,29312,29760,29120,29184,31040,32896,36928,41920,52672,62720,65344,65344
1,41024,40256,40640,41088,29312,28928,29184,29504,30464,33472,37056,41728,53056,63104,65344,65472
1,41024,40448,40704,40704,29184,29312,29056,29120,30592,33344,36288,41664,52736,62720,65344,65280
1,40576,40640,40448,40768,29120,28864,29184,29120,30528,33024,36608,41856,53184,62912,65408,65344
1,40384,40320,40704,40704,29248,29312,29760,29312,30656,32960,36544,41792,52672,62784,65280,65472
1,40512,40640,40576,40704,29824,29760,29312,29312,30464,33792,36800,41856,53056,62784,65344,65280
1,40896,40896,40640,40576,29248,29312,29120,29632,30336,33408,36544,41856,52544,62720,65408,65280
1,40640,40448,40640,40640,29312,29056,29312,29312,30528,33280,36544,41856,52672,62784,65408,65344
1,40576,40640,40576,40576,29248,29120,28992,29824,30656,33344,36544,41536,52608,62592,65408,65280
2,64896,65408,65472,65344,53504,53632,53888,53696,31360,29952,28480,29376,29376,30336,32960,35264
2,65408,65280,65408,65408,53632,53504,53824,53632,31360,29568,28736,29184,29312,30080,32384,35584
2,65408,65472,65408,65408,53632,53440,53440,53440,31424,29696,28864,29248,29248,30272,32896,35648
2,65344,65344,65472,65472,55104,54592,54592,54976,32064,30144,28736,28288,28864,30272,32576,34624
2,65344,65408,65472,65344,54336,54976,55104,54976,32064,29888,28672,28864,28864,29632,31808,34112
2,65344,65344,65472,65408,55360,54912,54976,54848,32128,30144,28992,29184,28992,30144,32000,34368
2,65280,65344,65408,65472,54976,54848,55168,55360,32192,30208,29248,28800,28864,29888,32256,34688
2,65472,65280,65408,65472,56128,56064,56256,56128,32768,30528,29120,28544,28672,29760,31296,33728
2,65408,65344,65280,65472,56192,56192,56512,56128,32960,30336,29504,28736,28736,29888,31232,33792
2,65472,65472,65408,65472,56896,57408,56960,57280,33344,30656,29312,28544,28608,29568,30848,33024
3,65408,65408,65472,65472,65344,65472,65472,65472,59584,54592,49920,44736,37056,32384,29760,28672
3,65408,65408,65408,65472,65472,65472,65472,65408,59136,54656,49984,44288,36800,32128,30208,28864
3,65408,65472,65408,65408,65408,65472,65408,65472,58944,54528,50240,44096,36736,32256,29952,28928
3,65472,65472,65408,65472,65472,65472,65344,65472,59136,54784,50368,44800,37440,32320,30464,28992
3,65408,65472,65408,65408,65408,65408,65472,65472,59136,54656,49984,44096,36928,32384,29888,28800
3,65472,65408,65408,65408,65472,65408,65408,65408,59136,54656,49984,44352,36800,31872,29824,29056
3,65408,65408,65472,65408,65472,65472,65344,65472,59008,54528,50368,44736,37440,32384,29888,28864
3,65472,65408,65472,65472,65472,65472,65472,65472,59648,54912,50176,44160,36864,32000,29696,29248
3,65472,65408,65472,65408,65472,65472,65344,65472,58944,54976,50368,44160,37312,32128,29888,28736
3,65472,65408,65408,65408,65472,65344,65472,65472,59520,54528,49984,44288,36800,32000,30080,29184
